onset	duration	run_number	trial_number	task	trial_type	eyemov_amplitude	eyemov_start_pos	eyemov_vis_end	sequence_num	sequence_trial
1582806856	n/a	1	92	1	1	4	6	2	4	1582806855
1582806857	n/a	1	93	1	1	4	14	1	4	1582806856
1582806858	n/a	1	94	1	1	4	8	1	4	1582806857
1582806860	n/a	1	95	1	1	4	16	2	4	1582806859
1582806861	n/a	1	96	1	1	4	2	2	4	1582806860
1582806862	n/a	1	97	1	3	5	17	3	5	1582806861
1582806863	n/a	1	98	1	3	5	17	3	5	1582806862
1582806864	n/a	1	99	1	3	5	17	3	5	1582806863
1582806866	n/a	1	100	1	3	5	17	3	5	1582806865
1582806867	n/a	1	101	1	3	5	17	3	5	1582806866
1582806868	n/a	1	102	1	3	5	17	3	5	1582806867
1582806869	n/a	1	103	1	3	5	17	3	5	1582806868
1582806870	n/a	1	104	1	3	5	17	3	5	1582806869
1582806872	n/a	1	105	1	3	5	17	3	5	1582806871
1582806873	n/a	1	106	1	3	5	17	3	5	1582806872
1582806874	n/a	1	107	1	3	5	17	3	5	1582806873
1582806875	n/a	1	108	1	3	5	17	3	5	1582806874
1582806876	n/a	1	109	1	3	5	17	3	5	1582806875
1582806878	n/a	1	110	1	3	5	17	3	5	1582806877
1582806879	n/a	1	111	1	3	5	17	3	5	1582806878
1582806880	n/a	1	112	1	3	5	17	3	5	1582806879
1582806881	n/a	1	113	1	1	2	2	1	6	1582806880
1582806882	n/a	1	114	1	1	2	10	1	6	1582806881
1582806884	n/a	1	115	1	1	2	4	2	6	1582806883
1582806885	n/a	1	116	1	1	2	12	2	6	1582806884
1582806886	n/a	1	117	1	1	2	6	1	6	1582806885
1582806887	n/a	1	118	1	1	2	14	1	6	1582806886
1582806888	n/a	1	119	1	1	2	8	2	6	1582806887
1582806890	n/a	1	120	1	1	2	16	2	6	1582806889
1582806891	n/a	1	121	1	1	2	10	1	6	1582806890
1582806892	n/a	1	122	1	1	2	4	1	6	1582806891
1582806893	n/a	1	123	1	1	2	12	2	6	1582806892
1582806894	n/a	1	124	1	1	2	6	2	6	1582806893
1582806896	n/a	1	125	1	1	2	14	1	6	1582806895
1582806897	n/a	1	126	1	1	2	8	1	6	1582806896
1582806898	n/a	1	127	1	1	2	16	2	6	1582806897
1582806899	n/a	1	128	1	1	2	2	2	6	1582806898
1582806900	n/a	1	129	1	1	2	10	1	6	1582806899
