onset	duration	run_number	trial_number	task	trial_type	eyemov_amplitude	eyemov_start_pos	eyemov_vis_end	sequence_num	sequence_trial
1583421581	n/a	1	92	1	2	2	5	2	4	1583421580
1583421582	n/a	1	93	1	2	2	13	1	4	1583421581
1583421583	n/a	1	94	1	2	2	7	2	4	1583421582
1583421584	n/a	1	95	1	2	2	15	1	4	1583421583
1583421586	n/a	1	96	1	2	2	1	2	4	1583421584
1583421587	n/a	1	97	1	3	5	17	3	5	1583421586
1583421588	n/a	1	98	1	3	5	17	3	5	1583421587
1583421589	n/a	1	99	1	3	5	17	3	5	1583421588
1583421590	n/a	1	100	1	3	5	17	3	5	1583421589
1583421592	n/a	1	101	1	3	5	17	3	5	1583421590
1583421593	n/a	1	102	1	3	5	17	3	5	1583421592
1583421594	n/a	1	103	1	3	5	17	3	5	1583421593
1583421595	n/a	1	104	1	3	5	17	3	5	1583421594
1583421596	n/a	1	105	1	3	5	17	3	5	1583421595
1583421598	n/a	1	106	1	3	5	17	3	5	1583421596
1583421599	n/a	1	107	1	3	5	17	3	5	1583421598
1583421600	n/a	1	108	1	3	5	17	3	5	1583421599
1583421601	n/a	1	109	1	3	5	17	3	5	1583421600
1583421602	n/a	1	110	1	3	5	17	3	5	1583421601
1583421604	n/a	1	111	1	3	5	17	3	5	1583421602
1583421605	n/a	1	112	1	3	5	17	3	5	1583421604
1583421606	n/a	1	113	1	2	4	1	1	6	1583421605
1583421607	n/a	1	114	1	2	4	9	2	6	1583421606
1583421608	n/a	1	115	1	2	4	3	1	6	1583421607
1583421610	n/a	1	116	1	2	4	11	2	6	1583421608
1583421611	n/a	1	117	1	2	4	5	1	6	1583421610
1583421612	n/a	1	118	1	2	4	13	2	6	1583421611
1583421613	n/a	1	119	1	2	4	7	1	6	1583421612
1583421614	n/a	1	120	1	2	4	15	2	6	1583421613
1583421616	n/a	1	121	1	2	4	9	1	6	1583421614
1583421617	n/a	1	122	1	2	4	3	2	6	1583421616
1583421618	n/a	1	123	1	2	4	11	1	6	1583421617
1583421619	n/a	1	124	1	2	4	5	2	6	1583421618
1583421620	n/a	1	125	1	2	4	13	1	6	1583421619
1583421622	n/a	1	126	1	2	4	7	2	6	1583421620
1583421623	n/a	1	127	1	2	4	15	1	6	1583421622
1583421624	n/a	1	128	1	2	4	1	2	6	1583421623
1583421625	n/a	1	129	1	2	4	9	1	6	1583421624
1583421626	n/a	1	130	1	2	4	3	2	6	1583421625
1583421628	n/a	1	131	1	2	4	11	1	6	1583421626
1583421629	n/a	1	132	1	2	4	5	2	6	1583421628
1583421630	n/a	1	133	1	2	4	13	1	6	1583421629
1583421631	n/a	1	134	1	2	4	7	2	6	1583421630
1583421632	n/a	1	135	1	2	4	15	1	6	1583421631
1583421634	n/a	1	136	1	2	4	1	2	6	1583421632
1583421635	n/a	1	137	1	2	4	9	1	6	1583421634
1583421636	n/a	1	138	1	2	4	3	2	6	1583421635
